text,label
"Experienced professional with skills in CSS, backend, React, HTML and proven expertise in web development.",Web Development
"Experienced professional with skills in scrum, risk management, Project Management, project planning and proven expertise in project management.",Project Management
"Experienced professional with skills in public speaking, presentation, negotiation and proven expertise in communication.",Communication
"Experienced professional with skills in team building, team leadership, mentorship and proven expertise in team leadership.",Team Leadership
"Experienced professional with skills in Tableau, Data Analysis, data visualization, Power BI and proven expertise in data analysis.",Data Analysis
"Experienced professional with skills in Maven, Java EE, Spring Boot and proven expertise in java.",Java
"Experienced professional with skills in data processing, Python, Flask, NumPy and proven expertise in python.",Python
"Experienced professional with skills in cybersecurity, penetration testing, vulnerability assessment, network security and proven expertise in cybersecurity.",Cybersecurity
"Experienced professional with skills in firewalls, network configuration, VPN, Cisco and proven expertise in network engineering.",Network Engineering
"Experienced professional with skills in Pandas, Django, NumPy, Python and proven expertise in python.",Python
"Experienced professional with skills in JavaScript, React, HTML and proven expertise in web development.",Web Development
"Experienced professional with skills in presentation, public speaking, negotiation, communication and proven expertise in communication.",Communication
"Experienced professional with skills in real-time systems, embedded, Qt, C++ and proven expertise in c++.",C++
"Experienced professional with skills in Java, backend, Jenkins, Java EE and proven expertise in java.",Java
"Experienced professional with skills in data pipeline, Spark, Hadoop and proven expertise in data engineering.",Data Engineering
"Experienced professional with skills in network security, cybersecurity, vulnerability assessment and proven expertise in cybersecurity.",Cybersecurity
"Experienced professional with skills in conflict resolution, team building, mentorship, team leadership and proven expertise in team leadership.",Team Leadership
"Experienced professional with skills in iOS, Swift and proven expertise in mobile development.",Mobile Development
"Experienced professional with skills in Python, data processing and proven expertise in python.",Python
"Experienced professional with skills in communication, public speaking and proven expertise in communication.",Communication
"Experienced professional with skills in mobile app, Android, Swift, iOS and proven expertise in mobile development.",Mobile Development
"Experienced professional with skills in C++, embedded, real-time systems and proven expertise in c++.",C++
"Experienced professional with skills in NumPy, Flask, Django, scripting and proven expertise in python.",Python
"Experienced professional with skills in network security, cybersecurity, penetration testing, vulnerability assessment and proven expertise in cybersecurity.",Cybersecurity
"Experienced professional with skills in risk management, scrum, agile, project planning and proven expertise in project management.",Project Management
"Experienced professional with skills in VPN, network configuration, Cisco and proven expertise in network engineering.",Network Engineering
"Experienced professional with skills in user experience, UX and proven expertise in ui/ux design.",UI/UX Design
"Experienced professional with skills in deployment, Azure, cloud infrastructure and proven expertise in cloud computing.",Cloud Computing
"Experienced professional with skills in Swift, Android, iOS and proven expertise in mobile development.",Mobile Development
"Experienced professional with skills in big data, Spark, data pipeline and proven expertise in data engineering.",Data Engineering
"Experienced professional with skills in cybersecurity, vulnerability assessment, penetration testing, network security and proven expertise in cybersecurity.",Cybersecurity
"Experienced professional with skills in Power BI, Data Analysis, data visualization, Tableau and proven expertise in data analysis.",Data Analysis
"Experienced professional with skills in conflict resolution, mentorship, team leadership, team building and proven expertise in team leadership.",Team Leadership
"Experienced professional with skills in AWS, GCP, cloud infrastructure and proven expertise in cloud computing.",Cloud Computing
"Experienced professional with skills in Swift, mobile app, React Native and proven expertise in mobile development.",Mobile Development
"Experienced professional with skills in Pandas, Python, Flask, scripting and proven expertise in python.",Python
"Experienced professional with skills in public speaking, presentation and proven expertise in communication.",Communication
"Experienced professional with skills in team building, conflict resolution and proven expertise in team leadership.",Team Leadership
"Experienced professional with skills in UX, user experience, Figma and proven expertise in ui/ux design.",UI/UX Design
"Experienced professional with skills in SQL, MySQL and proven expertise in sql.",SQL
"Experienced professional with skills in game development, Qt, C++, embedded and proven expertise in c++.",C++
"Experienced professional with skills in DevOps, Kubernetes, automation, Docker and proven expertise in devops.",DevOps
"Experienced professional with skills in scrum, agile, Project Management and proven expertise in project management.",Project Management
"Experienced professional with skills in public speaking, presentation, negotiation, communication and proven expertise in communication.",Communication
"Experienced professional with skills in software testing, QA, Selenium and proven expertise in software testing.",Software Testing
"Experienced professional with skills in Tableau, data visualization, Excel, Power BI and proven expertise in data analysis.",Data Analysis
"Experienced professional with skills in Project Management, project planning and proven expertise in project management.",Project Management
"Experienced professional with skills in Django, scripting and proven expertise in python.",Python
"Experienced professional with skills in wireframing, UX, Figma, UI and proven expertise in ui/ux design.",UI/UX Design
"Experienced professional with skills in Jenkins, Java, backend and proven expertise in java.",Java
"Experienced professional with skills in Kubernetes, automation, CI/CD, Docker and proven expertise in devops.",DevOps
"Experienced professional with skills in Cisco, firewalls, VPN, network configuration and proven expertise in network engineering.",Network Engineering
"Experienced professional with skills in Project Management, scrum, agile and proven expertise in project management.",Project Management
"Experienced professional with skills in scikit-learn, regression and proven expertise in machine learning.",Machine Learning
"Experienced professional with skills in presentation, communication, negotiation and proven expertise in communication.",Communication
"Experienced professional with skills in DevOps, automation and proven expertise in devops.",DevOps
"Experienced professional with skills in database management, SQL, SQL Server, PostgreSQL and proven expertise in sql.",SQL
"Experienced professional with skills in big data, data pipeline and proven expertise in data engineering.",Data Engineering
